2019-01-21T06:48:26.481Z - info: Website generation started at 2:48:23 PM
2019-01-21T07:20:38.748Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\toc\errors.md
2019-01-21T07:20:38.748Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\toc\expressions-types-variables.md
2019-01-21T07:20:38.749Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\toc\files.md
2019-01-21T07:20:38.749Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\toc\functions.md
2019-01-21T07:20:38.749Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\toc\oop.md
2019-01-21T07:20:38.749Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\toc\lists.md
2019-01-21T07:20:38.749Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\toc\programs.md
2019-01-21T07:20:38.749Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\toc\strings.md
2019-01-21T07:20:38.749Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\toc\thirdparty.md
2019-01-21T07:20:38.750Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\toc\unittesting.md
2019-01-21T07:20:38.750Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\_markbind\navigation\se-book-adapted-sitenav.md
2019-01-21T07:20:38.801Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\admin\usingThisWebsite.md
2019-01-21T07:20:38.801Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\admin\moduleExpectations.md
2019-01-21T07:20:38.801Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\admin\exams.md
2019-01-21T07:20:38.802Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\variables\e-circle.md
2019-01-21T07:20:38.802Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\usingFunctions\e-lengthOfName.md
2019-01-21T07:20:38.802Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\oop-inheritance\e-addFishClass.md
2019-01-21T07:20:38.802Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\oop-inheritance\e-addFlightlessBirdClass.md
2019-01-21T07:20:38.803Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\oop-inheritance\e-overrideStr.md
2019-01-21T07:20:38.803Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\oop-inheritance\e-addSmartPhoneClass.md
2019-01-21T07:20:38.803Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\book\oop\inheritance\overriding\q-tick-overriding.fr
2019-01-21T07:20:38.803Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\functions-def\e-hooray.md
2019-01-21T07:20:38.803Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\functions-parameters\e-grader-printScoreFunction.md
2019-01-21T07:20:38.803Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\functions-return\e-grader-calculateGradeFunction.md
2019-01-21T07:20:38.804Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\functions-scope\e-grader-analyzeInLoop.md
2019-01-21T07:20:38.804Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\lists-intro\e-countries.md
2019-01-21T07:20:38.804Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\lists-intro\e-getHeadTail.md
2019-01-21T07:20:38.804Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\objectReferences\e-swapEnds.md
2019-01-21T07:20:38.804Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\lists-workingWith\e-getBody.md
2019-01-21T07:20:38.804Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\lists-workingWith\e-deleteHead.md
2019-01-21T07:20:38.805Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\lists-workingWith\e-getMid.md
2019-01-21T07:20:38.805Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\lists-workingWith\e-expandToFill.md
2019-01-21T07:20:38.805Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\lists-workingWith\e-xor.md
2019-01-21T07:20:38.805Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\lists-workingWith\e-printCardDeck.md
2019-01-21T07:20:38.805Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\lists-workingWith\e-firstQuarter.md
2019-01-21T07:20:38.805Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\methods\e-removeExtraSpaces.md
2019-01-21T07:20:38.805Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\lists-methods\e-anagramChecker.md
2019-01-21T07:20:38.806Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\lists-methods\e-wordGame.md
2019-01-21T07:20:38.806Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\dictionaries-intro\e-getSubjectInfo.md
2019-01-21T07:20:38.806Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\dictionaries-workingWith\e-getSetDeleteScore.md
2019-01-21T07:20:38.806Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\dictionaries-workingWith\e-getScoreWithErrorHandling.md
2019-01-21T07:20:38.806Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\dictionaries-workingWith\e-printScorecard.md
2019-01-21T07:20:38.806Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\dictionaries-workingWith\e-addBonus.md
2019-01-21T07:20:38.806Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\dictionaries-nested\e-inningScores.md
2019-01-21T07:20:38.806Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\dictionaries-nested\e-playerStats.md
2019-01-21T07:20:38.806Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\dictionaries-nested\e-gradeReport.md
2019-01-21T07:20:38.806Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\strings-literals\e-escapeSequences.md
2019-01-21T07:20:38.806Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\strings-literals\e-multiLineString.md
2019-01-21T07:20:38.806Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\strings-workingWith\e-shortenString.md
2019-01-21T07:20:38.807Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\strings-workingWith\e-hasAllCharacters.md
2019-01-21T07:20:38.807Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\strings-methods\e-rectifyCase.md
2019-01-21T07:20:38.807Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\strings-methods\e-isDoctor.md
2019-01-21T07:20:38.807Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\strings-methods\e-removeFromWord.md
2019-01-21T07:20:38.807Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\strings-methods\e-getPart.md
2019-01-21T07:20:38.807Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\strings-methods\e-printFormattedItem.md
2019-01-21T07:20:38.807Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\strings-methods\e-inventoryReport.md
2019-01-21T07:20:38.807Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\files-paths\e-createDir.md
2019-01-21T07:20:38.808Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\files-reading\e-fileStats.md
2019-01-21T07:20:38.808Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\files-writing\e-addLineNumbers.md
2019-01-21T07:20:38.808Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\files-csv\e-calculateGst.md
2019-01-21T07:20:38.808Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\errors-exceptions-handling\e-enterInteger.md
